category,discounted_price,actual_price,profit_margin,rating,rating_count,total_rating_value,avg_discounted_price,avg_actual_price,avg_rating
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",11847.0,13500.0,1653.0,3.5999999999999996,15837,55306.6,0.7480583443834059,0.8524341731388521,3.4922396918608323
Computers&Accessories|Tablets,26999.0,37999.0,11000.0,4.6,2886,13275.599999999999,9.355162855162854,13.166666666666666,4.6
Electronics|Accessories|MemoryCards|MicroSD,10917.0,28197.0,17280.0,4.330769230769231,1113592,4854161.7,0.009803410944044138,0.025320763798590506,4.359012726384528
Electronics|Accessories|MemoryCards|SecureDigitalCards,449.0,800.0,351.0,4.4,69585,306174.0,0.006452540058920745,0.011496730617230725,4.4
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,299.0,400.0,101.0,3.8,40895,155401.0,0.007311407262501528,0.009781146839466928,3.8
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,299.0,499.0,200.0,4.2,24432,102614.40000000001,0.012238048461034708,0.020424034053700066,4.2
Electronics|Cameras&Photography|Accessories|Film,549.0,549.0,0.0,4.5,4875,21937.5,0.11261538461538462,0.11261538461538462,4.5
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,699.0,1299.0,600.0,4.3,6183,26586.899999999998,0.11305191654536632,0.21009218825812712,4.3
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,1549.0,2495.0,946.0,4.4,15137,66602.8,0.10233203408865693,0.1648279051331175,4.4
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,1125.0,4789.0,3664.0,4.35,37912,164098.9,0.029673981852711542,0.1263188436378983,4.328415805022156
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,748.0,1990.0,1242.0,4.05,28048,111390.0,0.026668568168853393,0.0709498003422704,3.971406160867085
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,799.0,1999.0,1200.0,3.8,12958,49240.399999999994,0.061660750115758604,0.15426763389411946,3.7999999999999994
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,13786.0,25488.0,11702.0,4.1,148848,627963.2000000001,0.09261797269697947,0.17123508545630442,4.218821885413308
Electronics|Cameras&Photography|VideoCameras,499.0,1999.0,1500.0,3.7,3369,12465.300000000001,0.1481151677055506,0.593351142772336,3.7
Electronics|GeneralPurposeBatteries&BatteryChargers,1957.0,2150.0,193.0,4.375,53394,234885.10000000003,0.03665205828370229,0.04026669663258044,4.3990916582387545
